         16367159 function calls (16039132 primitive calls) in 18.579 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.243    0.243   18.627   18.627 /tmp/ipykernel_85203/2810657869.py:1(race_sim)
      617    0.013    0.000   10.149    0.016 /tmp/ipykernel_85203/1417645713.py:65(predict_overtake)
      617    0.007    0.000    7.889    0.013 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/calibration.py:508(predict)
      617    0.019    0.000    7.783    0.013 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/calibration.py:480(predict_proba)
     1851    0.082    0.000    7.667    0.004 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/calibration.py:709(predict_proba)
     1851    0.030    0.000    6.580    0.004 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_response.py:116(_get_response_values)
     1851    0.016    0.000    6.070    0.003 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/ensemble/_gb.py:1557(decision_function)
    12957    0.284    0.000    4.947    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/validation.py:736(check_array)
     3702    0.034    0.000    4.908    0.001 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/validation.py:2835(validate_data)
    15895    0.094    0.000    2.914    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:4062(__getitem__)
    27994    0.378    0.000    2.750    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/series.py:389(__init__)
    14811    0.054    0.000    1.812    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:6432(dtypes)
      617    0.001    0.000    1.777    0.003 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/window/rolling.py:2216(mean)
      617    0.004    0.000    1.775    0.003 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/window/rolling.py:1605(mean)
      617    0.027    0.000    1.770    0.003 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/window/rolling.py:715(_apply)
     5171    0.054    0.000    1.672    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:4027(take)
     3485    0.026    0.000    1.655    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:4130(_getitem_bool_array)
     4554    0.022    0.000    1.646    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:4142(_take_with_is_copy)
   381144    0.183    0.000    1.625    0.000 {built-in method builtins.hasattr}
 5553/617    0.082    0.000    1.616    0.003 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:7142(fillna)
     1851    0.401    0.000    1.564    0.001 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/ensemble/_gb.py:962(_raw_predict)
     5277    0.030    0.000    1.528    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:869(take)
      617    0.003    0.000    1.372    0.002 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/window/rolling.py:562(_apply)
     5895    0.045    0.000    1.266    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:623(reindex_indexer)
     6618    0.055    0.000    1.223    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:4271(__setitem__)
     6618    0.029    0.000    1.149    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:4514(_set_item)
     7806    0.082    0.000    1.130    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:317(apply)
    33394    0.092    0.000    1.013    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/blocks.py:1287(take_nd)
     7404    0.013    0.000    1.012    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/accessor.py:220(__get__)
     7404    0.009    0.000    0.999    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/arrays/sparse/accessor.py:29(__init__)
     7404    0.034    0.000    0.991    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/arrays/sparse/accessor.py:246(_validate)
     1851    0.016    0.000    0.979    0.001 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/ensemble/_gb.py:948(_raw_predict_init)
    25286    0.084    0.000    0.975    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:4626(_get_item_cache)
     4041    0.040    0.000    0.956    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:687(<listcomp>)
     1851    0.016    0.000    0.950    0.001 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:6463(astype)
    36481    0.081    0.000    0.913    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/array_algos/take.py:59(take_nd)
      617    0.004    0.000    0.909    0.001 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/window/rolling.py:460(_apply_columnwise)
      617    0.009    0.000    0.898    0.001 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/window/rolling.py:440(_apply_series)
    21190    0.067    0.000    0.897    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:3983(_ixs)
     1851    0.008    0.000    0.882    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:421(astype)
17276/16042    0.045    0.000    0.849    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_tags.py:367(get_tags)
    36481    0.261    0.000    0.823    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
    14808    0.045    0.000    0.796    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/blocks.py:723(astype)
2662728/2649574    0.521    0.000    0.794    0.000 {built-in method builtins.isinstance}
47935/44233    0.110    0.000    0.790    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:6284(__getattr__)
     6364    0.032    0.000    0.766    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:1505(iterrows)
    32054    0.230    0.000    0.766    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/construction.py:517(sanitize_array)
    14923    0.038    0.000    0.750    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexing.py:2577(__setitem__)
     6618    0.028    0.000    0.705    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:4481(_set_item_mgr)
    14923    0.080    0.000    0.688    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexing.py:2529(__setitem__)
      617    0.006    0.000    0.687    0.001 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/window/rolling.py:595(homogeneous_func)
      617    0.021    0.000    0.673    0.001 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/window/rolling.py:601(calc)
    13493    0.038    0.000    0.665    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexing.py:2568(__getitem__)
     8638    0.025    0.000    0.658    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/validation.py:1673(check_is_fitted)
     4049    0.009    0.000    0.655    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/ops/common.py:62(new_method)
      617    0.112    0.000    0.650    0.001 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexers/objects.py:387(get_window_bounds)
     6617    0.028    0.000    0.626    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:4470(_iset_item_mgr)
    14808    0.038    0.000    0.624    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/astype.py:191(astype_array_safe)
     3935    0.009    0.000    0.610    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/arraylike.py:38(__eq__)
    17276    0.362    0.000    0.609    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_tags.py:303(_find_tags_provider)
     3936    0.022    0.000    0.601    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/series.py:6110(_cmp_method)
    13493    0.031    0.000    0.601    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexing.py:2518(__getitem__)
     6620    0.191    0.000    0.576    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:1066(iset)
    13493    0.044    0.000    0.563    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:4191(_get_value)
    14923    0.056    0.000    0.559    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:4540(_set_value)
   127696    0.229    0.000    0.523    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:6301(__setattr__)
    38394    0.184    0.000    0.517    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/dtypes/common.py:1596(pandas_dtype)
134098/126289    0.115    0.000    0.513    0.000 {built-in method numpy.asarray}
     1851    0.012    0.000    0.497    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/preprocessing/_label.py:114(transform)
162475/160624    0.086    0.000    0.484    0.000 {built-in method builtins.any}
     1851    0.011    0.000    0.466    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/tree/_classes.py:482(_validate_X_predict)
      617    0.005    0.000    0.460    0.001 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/window/rolling.py:2879(_get_window_indexer)
    18510    0.045    0.000    0.459    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/_array_api.py:818(_asarray_with_order)
      617    0.004    0.000    0.447    0.001 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/groupby/ops.py:650(indices)
    14926    0.036    0.000    0.424    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/managers.py:1298(column_setitem)
    20573    0.056    0.000    0.422    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:4608(_box_col_values)
     5553    0.027    0.000    0.421    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/validation.py:1417(column_or_1d)
     4049    0.022    0.000    0.418    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/series.py:6201(_construct_result)
    36481    0.123    0.000    0.404    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/array_algos/take.py:564(_take_preprocess_indexer_and_fill_value)
1241/1239    0.006    0.000    0.399    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexing.py:1176(__getitem__)
     6618    0.024    0.000    0.387    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:5242(_sanitize_column)
    11723    0.072    0.000    0.369    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexers/objects.py:96(get_window_bounds)
     1851    0.040    0.000    0.352    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/multiclass.py:229(type_of_target)
981061/704849    0.235    0.000    0.350    0.000 {built-in method builtins.len}
    48069    0.227    0.000    0.350    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:6236(__finalize__)
