         1684177 function calls (1645249 primitive calls) in 1.820 seconds

   Ordered by: cumulative time
   List reduced from 543 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    1.825    0.912 /home/ben/Individual_Project/env/lib/python3.10/site-packages/IPython/core/interactiveshell.py:3541(run_code)
        2    0.000    0.000    1.825    0.912 {built-in method builtins.exec}
        1    0.000    0.000    1.825    1.825 /tmp/ipykernel_253371/1883077556.py:1(<module>)
        1    0.027    0.027    1.825    1.825 /tmp/ipykernel_253371/1883077556.py:59(post_race_sim)
      393    0.003    0.000    1.418    0.004 /tmp/ipykernel_253371/95309250.py:40(predict_overtake)
      393    0.016    0.000    0.925    0.002 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/tree/_classes.py:506(predict)
      393    0.003    0.000    0.843    0.002 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/tree/_classes.py:482(_validate_X_predict)
      393    0.005    0.000    0.834    0.002 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/validation.py:2835(validate_data)
      393    0.029    0.000    0.778    0.002 /home/ben/Individual_Project/env/lib/python3.10/site-packages/sklearn/utils/validation.py:736(check_array)
      788    0.010    0.000    0.373    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:4062(__getitem__)
     3144    0.012    0.000    0.371    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/generic.py:6432(dtypes)
     3537    0.045    0.000    0.333    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/series.py:389(__init__)
      394    0.007    0.000    0.328    0.001 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:694(__init__)
    24373    0.017    0.000    0.290    0.000 {built-in method builtins.hasattr}
     1572    0.003    0.000    0.204    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/accessor.py:220(__get__)
      394    0.003    0.000    0.201    0.001 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/internals/construction.py:96(arrays_to_mgr)
     1572    0.002    0.000    0.201    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/arrays/sparse/accessor.py:29(__init__)
     1572    0.007    0.000    0.199    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/arrays/sparse/accessor.py:246(_validate)
      393    0.005    0.000    0.172    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/indexes/base.py:6186(_get_indexer_strict)
      393    0.004    0.000    0.162    0.000 /home/ben/Individual_Project/env/lib/python3.10/site-packages/pandas/core/frame.py:4271(__setitem__)


